Results
-------
Number of states: number of converted automata, sum of converted automata sizes, average converted automata size

1: 1789, 5367, 3.0
2: 1646, 10274, 6.24179829890644
3: 1619, 19626, 12.122297714638666
4: 1962, 41181, 20.989296636085626
5: 1578, 50004, 31.688212927756656
6: 731, 34646, 47.395348837209305
7: 1059, 72808, 68.75165250236071
8: 1518, 139280, 91.75230566534914
9: 1684, 199618, 118.53800475059383
10: 1347, 198598, 147.43726800296957
11: 1003, 185109, 184.55533399800598
12: 1293, 288591, 223.19489559164734
13: 1527, 409902, 268.4361493123772
14: 1477, 464771, 314.6723087339201
15: 1160, 420010, 362.07758620689657
16: 1108, 463512, 418.3321299638989
17: 1359, 659569, 485.33406916850623
18: 1459, 804146, 551.162440027416
19: 1320, 812134, 615.2530303030303
20: 1185, 803370, 677.9493670886076
21: 1162, 891313, 767.0507745266782
22: 1298, 1111327, 856.1841294298921
23: 1213, 1136606, 937.0206100577082
24: 1052, 1082200, 1028.7072243346008
25: 838, 939807, 1121.4880668257756
26: 839, 1027218, 1224.336114421931
27: 756, 1009351, 1335.1203703703704
28: 586, 840953, 1435.0733788395905
29: 344, 532543, 1548.0901162790697
30: 88, 145223, 1650.2613636363637
