// number of SUBA
1000

// number of states
19
// alphabet
a b c 
// final states
5 12 
// number of transitions
54
// transitions
9 a 1
3 b 1
1 c 1
7 a 3
2 b 3
7 a 13
19 b 13
14 c 13
9 a 5
4 b 5
15 c 5
4 a 14
16 b 14
16 c 14
12 a 6
18 b 6
5 c 6
8 a 15
14 c 15
10 a 7
18 b 7
16 c 7
19 a 16
18 b 16
19 c 16
6 a 8
14 b 8
17 c 8
4 a 17
12 b 17
2 c 17
8 a 9
9 b 9
8 c 9
1 a 18
17 b 18
16 c 18
1 b 10
9 c 10
9 a 19
8 b 19
6 c 19
14 a 11
11 b 11
17 c 11
6 a 2
14 b 2
13 c 2
3 a 12
9 b 12
4 c 12
9 a 4
16 b 4
11 c 4

// number of states
19
// alphabet
a b c 
// final states
2 1 
// number of transitions
54
// transitions
5 a 1
11 b 1
8 c 1
10 a 12
10 b 12
12 c 12
13 a 3
4 b 3
12 c 3
16 a 14
13 b 14
9 a 5
2 b 5
6 c 5
8 a 15
12 b 15
14 c 15
9 a 6
2 b 6
3 c 6
5 a 16
17 b 16
17 c 16
5 a 7
4 b 7
19 c 7
12 a 17
15 b 17
7 c 17
1 a 8
16 b 8
9 c 8
13 a 9
2 b 9
13 c 9
6 a 18
9 b 18
1 c 18
16 a 10
5 b 10
14 a 19
5 b 19
7 a 11
4 b 11
9 c 11
6 a 2
15 b 2
8 c 2
5 a 13
7 b 13
17 c 13
1 a 4
19 b 4
18 c 4

// number of states
18
// alphabet
a b c 
// final states
18 
// number of transitions
51
// transitions
8 a 1
12 c 1
1 a 12
1 b 12
9 c 12
13 a 3
16 b 3
9 c 3
14 b 13
18 c 13
1 a 5
10 b 5
11 c 5
5 a 14
15 b 14
17 c 14
11 a 6
11 b 6
15 c 6
4 a 15
14 b 15
17 c 15
14 a 7
13 b 7
15 c 7
7 a 16
8 b 16
10 c 16
17 a 8
13 b 8
4 c 8
3 a 17
3 b 17
6 c 17
16 a 9
8 c 9
10 a 10
6 b 10
6 c 10
16 a 18
18 b 18
9 c 18
12 a 11
2 b 11
18 c 11
5 a 2
17 b 2
5 c 2
12 a 4
10 b 4
13 c 4

// number of states
18
// alphabet
a b c 
// final states
3 
// number of transitions
51
// transitions
6 a 1
8 b 1
7 c 1
5 a 3
1 b 3
9 c 3
11 a 12
12 b 12
14 a 5
10 b 5
11 c 5
14 a 13
14 b 13
14 c 13
15 a 14
16 b 14
12 c 14
17 a 6
5 b 6
12 c 6
13 a 15
13 c 15
10 a 7
6 b 7
5 c 7
8 a 16
12 b 16
18 c 16
7 a 8
10 b 8
4 c 8
5 a 17
16 b 17
8 c 17
17 a 9
4 b 9
10 c 9
13 a 18
17 b 18
2 c 18
15 a 10
10 b 10
9 c 10
18 a 2
3 b 2
16 c 2
13 a 11
2 b 11
9 a 4
5 b 4
4 c 4

// number of states
19
// alphabet
a b c 
// final states
18 3 
// number of transitions
54
// transitions
9 a 1
10 b 1
2 c 1
17 a 11
9 b 11
9 a 3
8 b 3
8 c 3
2 a 13
1 b 13
3 c 13
18 a 14
1 b 14
17 c 14
14 a 5
19 b 5
4 a 15
4 b 15
5 a 6
6 b 6
5 c 6
9 a 16
3 b 16
7 c 16
13 a 7
13 b 7
3 c 7
13 a 17
9 b 17
1 c 17
6 a 8
4 b 8
5 c 8
16 a 18
1 b 18
15 c 18
10 a 9
